   index  bin-str  bin-end
      92   2.85290e+01   2.92080e+01        3.02462        0.47466
      93   2.92080e+01   2.98870e+01        3.01570        0.49075
      94   2.98870e+01   3.05660e+01        3.00581        0.50087
      95   3.05660e+01   3.12460e+01        2.99207        0.50622
      96   3.12460e+01   3.19250e+01        2.97472        0.50829
      97   3.19250e+01   3.26040e+01        2.95642        0.50853
      98   3.26040e+01   3.32830e+01        2.94106        0.50815
      99   3.32830e+01   3.39630e+01        2.93229        0.50794
==========
   index  bin-str  bin-end  diffusion-coefficient-at[i]
       0  -3.39630e+01  -3.32830e+01        0.54048
       1  -3.32830e+01  -3.26040e+01        0.54710
       2  -3.26040e+01  -3.19250e+01        0.55942
       3  -3.19250e+01  -3.12460e+01        0.57555
       4  -3.12460e+01  -3.05660e+01        0.59256
       5  -3.05660e+01  -2.98870e+01        0.60661
       6  -2.98870e+01  -2.92080e+01        0.61330
       7  -2.92080e+01  -2.85290e+01        0.60843
       8  -2.85290e+01  -2.78490e+01        0.58900
       9  -2.78490e+01  -2.71700e+01        0.55411
      10  -2.71700e+01  -2.64910e+01        0.50545
      11  -2.64910e+01  -2.58120e+01        0.44699
      12  -2.58120e+01  -2.51320e+01        0.38396
      13  -2.51320e+01  -2.44530e+01        0.32163
      14  -2.44530e+01  -2.37740e+01        0.26420
      15  -2.37740e+01  -2.30950e+01        0.21428
      16  -2.30950e+01  -2.24150e+01        0.17289
      17  -2.24150e+01  -2.17360e+01        0.13982
      18  -2.17360e+01  -2.10570e+01        0.11414
      19  -2.10570e+01  -2.03780e+01        0.09462
      20  -2.03780e+01  -1.96980e+01        0.08004
      21  -1.96980e+01  -1.90190e+01        0.06930
      22  -1.90190e+01  -1.83400e+01        0.06149
      23  -1.83400e+01  -1.76610e+01        0.05589
      24  -1.76610e+01  -1.69810e+01        0.05197
      25  -1.69810e+01  -1.63020e+01        0.04928
      26  -1.63020e+01  -1.56230e+01        0.04751
      27  -1.56230e+01  -1.49440e+01        0.04641
      28  -1.49440e+01  -1.42640e+01        0.04581
      29  -1.42640e+01  -1.35850e+01        0.04558
      30  -1.35850e+01  -1.29060e+01        0.04569
      31  -1.29060e+01  -1.22270e+01        0.04613
      32  -1.22270e+01  -1.15470e+01        0.04701
      33  -1.15470e+01  -1.08680e+01        0.04845
      34  -1.08680e+01  -1.01890e+01        0.05067
      35  -1.01890e+01  -9.51000e+00        0.05394
      36  -9.51000e+00  -8.83000e+00        0.05861
      37  -8.83000e+00  -8.15100e+00        0.06514
      38  -8.15100e+00  -7.47200e+00        0.07410
      39  -7.47200e+00  -6.79300e+00        0.08620
      40  -6.79300e+00  -6.11300e+00        0.10228
      41  -6.11300e+00  -5.43400e+00        0.12323
      42  -5.43400e+00  -4.75500e+00        0.14989
      43  -4.75500e+00  -4.07600e+00        0.18268
      44  -4.07600e+00  -3.39600e+00        0.22127
      45  -3.39600e+00  -2.71700e+00        0.26408
      46  -2.71700e+00  -2.03800e+00        0.30794
      47  -2.03800e+00  -1.35900e+00        0.34816
      48  -1.35900e+00  -6.79000e-01        0.37928
      49  -6.79000e-01   0.00000e+00        0.39633
      50   0.00000e+00   6.79000e-01        0.39633
      51   6.79000e-01   1.35900e+00        0.37928
      52   1.35900e+00   2.03800e+00        0.34816
      53   2.03800e+00   2.71700e+00        0.30794
      54   2.71700e+00   3.39600e+00        0.26408
      55   3.39600e+00   4.07600e+00        0.22127
      56   4.07600e+00   4.75500e+00        0.18268
      57   4.75500e+00   5.43400e+00        0.14989
      58   5.43400e+00   6.11300e+00        0.12323
      59   6.11300e+00   6.79300e+00        0.10228
      60   6.79300e+00   7.47200e+00        0.08620
      61   7.47200e+00   8.15100e+00        0.07410
      62   8.15100e+00   8.83000e+00        0.06514
      63   8.83000e+00   9.51000e+00        0.05861
      64   9.51000e+00   1.01890e+01        0.05394
      65   1.01890e+01   1.08680e+01        0.05067
      66   1.08680e+01   1.15470e+01        0.04845
      67   1.15470e+01   1.22270e+01        0.04701
      68   1.22270e+01   1.29060e+01        0.04613
      69   1.29060e+01   1.35850e+01        0.04569
      70   1.35850e+01   1.42640e+01        0.04558
      71   1.42640e+01   1.49440e+01        0.04581
      72   1.49440e+01   1.56230e+01        0.04641
      73   1.56230e+01   1.63020e+01        0.04751
      74   1.63020e+01   1.69810e+01        0.04928
      75   1.69810e+01   1.76610e+01        0.05197
      76   1.76610e+01   1.83400e+01        0.05589
      77   1.83400e+01   1.90190e+01        0.06149
      78   1.90190e+01   1.96980e+01        0.06930
      79   1.96980e+01   2.03780e+01        0.08004
      80   2.03780e+01   2.10570e+01        0.09462
      81   2.10570e+01   2.17360e+01        0.11414
      82   2.17360e+01   2.24150e+01        0.13982
      83   2.24150e+01   2.30950e+01        0.17289
      84   2.30950e+01   2.37740e+01        0.21428
      85   2.37740e+01   2.44530e+01        0.26420
      86   2.44530e+01   2.51320e+01        0.32163
      87   2.51320e+01   2.58120e+01        0.38396
      88   2.58120e+01   2.64910e+01        0.44699
      89   2.64910e+01   2.71700e+01        0.50545
      90   2.71700e+01   2.78490e+01        0.55411
      91   2.78490e+01   2.85290e+01        0.58900
      92   2.85290e+01   2.92080e+01        0.60843
      93   2.92080e+01   2.98870e+01        0.61330
      94   2.98870e+01   3.05660e+01        0.60661
      95   3.05660e+01   3.12460e+01        0.59256
      96   3.12460e+01   3.19250e+01        0.57555
      97   3.19250e+01   3.26040e+01        0.55942
      98   3.26040e+01   3.32830e+01        0.54710
      99   3.32830e+01   3.39630e+01        0.54048
==========
